time,open,high,low,close,tick_volume,spread,real_volume,SMA_20,SMA_50,RSI,Signal
1750359060,5929.61,5929.86,5926.36,5926.61,55,40,0,5927.2474999999995,5929.725,56.896551724137936,-1
1750359120,5926.61,5926.86,5923.61,5924.36,47,40,0,5927.0975,5929.55,45.16129032258065,-1
1750359180,5924.36,5924.36,5920.98,5923.11,71,40,0,5926.8724999999995,5929.354999999999,39.0625,-1
1750359240,5923.11,5924.36,5922.61,5924.11,31,40,0,5926.785,5929.169999999999,37.09677419354839,-1
1750359300,5924.11,5927.36,5923.86,5925.11,60,40,0,5926.8724999999995,5929.005,45.0,-1
1750359360,5925.11,5925.61,5920.98,5923.86,90,40,0,5926.9349999999995,5928.8,42.1875,-1
1750359420,5924.11,5924.86,5923.86,5924.61,62,40,0,5926.9349999999995,5928.595,43.07692307692308,-1
1750359480,5924.61,5924.61,5920.11,5920.36,78,40,0,5926.66,5928.3499999999985,27.027027027027017,-1
1750359540,5919.98,5921.61,5919.36,5920.36,66,40,0,5926.3475,5928.16,26.027397260273972,-1
1750359600,5920.36,5922.36,5920.11,5922.11,60,40,0,5926.047499999999,5927.985,31.64556962025317,-1
1750359660,5921.86,5922.86,5921.61,5922.86,17,40,0,5925.859999999999,5927.83,29.870129870129873,-1
1750359720,5922.86,5922.86,5921.86,5922.61,30,40,0,5925.672499999999,5927.654999999999,31.506849315068493,-1
1750359780,5922.23,5924.61,5921.86,5924.36,22,40,0,5925.547499999999,5927.455,35.8974358974359,-1
1750359840,5924.36,5925.36,5923.86,5925.36,22,40,0,5925.3724999999995,5927.295,39.99999999999999,-1
1750359900,5925.36,5927.36,5925.36,5926.86,28,40,0,5925.26,5927.16,50.66666666666667,-1
1750359960,5926.86,5927.86,5926.86,5926.86,18,40,0,5925.135,5927.0149999999985,57.57575757575758,-1
1750360020,5927.11,5928.61,5926.86,5928.36,28,40,0,5925.0225,5926.91,65.67164179104478,-1
1750360080,5928.36,5928.36,5927.86,5928.36,12,40,0,5924.9725,5926.825,63.492063492063494,-1
1750360140,5928.36,5928.36,5927.86,5927.86,6,40,0,5924.8724999999995,5926.685,59.01639344262295,-1
1750360200,5927.86,5928.36,5927.36,5928.36,9,40,0,5924.8225,5926.605,65.51724137931035,-1
